"year"	"category"	"n"
"1998"	"Oats"	16
"1999"	"Oats"	15
"2000"	"Oats"	16
"2001"	"Oats"	17
"2002"	"Oats"	17
"2003"	"Oats"	18
"2004"	"Oats"	18
"2005"	"Oats"	19
"2006"	"Oats"	19
"2007"	"Oats"	19
"2008"	"Oats"	19
"2009"	"Oats"	18
"1961"	"Peas"	3
"1962"	"Peas"	5
"1963"	"Peas"	4
"1964"	"Peas"	4
"1965"	"Peas"	3
"1966"	"Peas"	3
"1967"	"Peas"	2
"1968"	"Peas"	2
"1969"	"Peas"	4
"1970"	"Peas"	1
"1971"	"Peas"	4
"1972"	"Peas"	0
"1973"	"Peas"	0
"1974"	"Peas"	4
"1975"	"Peas"	3
"1976"	"Peas"	1
"1977"	"Peas"	0
"1978"	"Peas"	6
"1979"	"Peas"	2
"1980"	"Peas"	3
"1981"	"Peas"	1
"1982"	"Peas"	1
"1983"	"Peas"	1
"1984"	"Peas"	0
"1985"	"Peas"	1
"1986"	"Peas"	3
"1987"	"Peas"	4
"1988"	"Peas"	3
"1989"	"Peas"	2
"1990"	"Peas"	2
"1991"	"Peas"	3
"1992"	"Peas"	3
"1993"	"Peas"	2
"1994"	"Peas"	2
"1995"	"Peas"	4
"1996"	"Peas"	4
"1997"	"Peas"	6
"1998"	"Peas"	6
"1999"	"Peas"	5
"2000"	"Peas"	3
"2001"	"Peas"	3
"2002"	"Peas"	6
"2003"	"Peas"	4
"2004"	"Peas"	8
"2005"	"Peas"	8
"2006"	"Peas"	6
"2007"	"Peas"	9
"2008"	"Peas"	7
"2009"	"Peas"	9
"1961"	"Pulses, other"	1
"1962"	"Pulses, other"	1
"1963"	"Pulses, other"	1
"1964"	"Pulses, other"	2
"1965"	"Pulses, other"	0
"1966"	"Pulses, other"	0
"1967"	"Pulses, other"	0
"1968"	"Pulses, other"	0
"1969"	"Pulses, other"	0
"1970"	"Pulses, other"	0
"1971"	"Pulses, other"	0
"1972"	"Pulses, other"	0
"1973"	"Pulses, other"	0
"1974"	"Pulses, other"	1
"1975"	"Pulses, other"	1
"1976"	"Pulses, other"	0
"1977"	"Pulses, other"	0
"1978"	"Pulses, other"	1
"1979"	"Pulses, other"	1
"1980"	"Pulses, other"	2
"1981"	"Pulses, other"	1
"1982"	"Pulses, other"	0
"1983"	"Pulses, other"	0
"1984"	"Pulses, other"	0
"1985"	"Pulses, other"	0
"1986"	"Pulses, other"	1
"1987"	"Pulses, other"	1
"1988"	"Pulses, other"	0
"1989"	"Pulses, other"	0
"1990"	"Pulses, other"	1
"1991"	"Pulses, other"	2
"1992"	"Pulses, other"	1
"1993"	"Pulses, other"	1
"1994"	"Pulses, other"	1
"1995"	"Pulses, other"	1
"1996"	"Pulses, other"	1
"1997"	"Pulses, other"	2
"1998"	"Pulses, other"	2
"1999"	"Pulses, other"	2
"2000"	"Pulses, other"	4
"2001"	"Pulses, other"	2
"2002"	"Pulses, other"	2
"2003"	"Pulses, other"	2
"2004"	"Pulses, other"	3
"2005"	"Pulses, other"	4
"2006"	"Pulses, other"	1
"2007"	"Pulses, other"	2
"2008"	"Pulses, other"	1
"2009"	"Pulses, other"	3
"1961"	"Rice"	27
"1962"	"Rice"	32
"1963"	"Rice"	29
"1964"	"Rice"	31
"1965"	"Rice"	33
"1966"	"Rice"	32
"1967"	"Rice"	33
"1968"	"Rice"	34
"1969"	"Rice"	36
"1970"	"Rice"	30
"1971"	"Rice"	34
"1972"	"Rice"	31
"1973"	"Rice"	31
"1974"	"Rice"	33
"1975"	"Rice"	34
"1976"	"Rice"	31
"1977"	"Rice"	33
"1978"	"Rice"	25
"1979"	"Rice"	42
"1980"	"Rice"	42
"1981"	"Rice"	49
"1982"	"Rice"	53
"1983"	"Rice"	44
"1984"	"Rice"	38
"1985"	"Rice"	40
"1986"	"Rice"	51
"1987"	"Rice"	62
"1988"	"Rice"	63
"1989"	"Rice"	67
"1990"	"Rice"	73
"1991"	"Rice"	76
"1992"	"Rice"	77
"1993"	"Rice"	78
"1994"	"Rice"	86
"1995"	"Rice"	89
"1996"	"Rice"	83
"1997"	"Rice"	87
"1998"	"Rice"	88
"1999"	"Rice"	94
"2000"	"Rice"	90
"2001"	"Rice"	90
"2002"	"Rice"	92
"2003"	"Rice"	83
"2004"	"Rice"	87
"2005"	"Rice"	88
"2006"	"Rice"	89
"2007"	"Rice"	88
"2008"	"Rice"	88
"2009"	"Rice"	87
"1961"	"Rye"	5
"1962"	"Rye"	5
"1963"	"Rye"	5
"1964"	"Rye"	5
"1965"	"Rye"	4
"1966"	"Rye"	5
"1967"	"Rye"	4
"1968"	"Rye"	5
"1969"	"Rye"	4
"1970"	"Rye"	5
"1971"	"Rye"	5
"1972"	"Rye"	4
"1973"	"Rye"	4
"1974"	"Rye"	3
"1975"	"Rye"	3
"1976"	"Rye"	2
"1977"	"Rye"	2
"1978"	"Rye"	2
"1979"	"Rye"	2
"1980"	"Rye"	1
"1981"	"Rye"	1
"1982"	"Rye"	1
"1983"	"Rye"	2
"1984"	"Rye"	1
"1985"	"Rye"	2
"1986"	"Rye"	1
"1987"	"Rye"	1
"1988"	"Rye"	1
"1989"	"Rye"	3
"1990"	"Rye"	3
"1991"	"Rye"	3
"1992"	"Rye"	3
"1993"	"Rye"	3
"1994"	"Rye"	2
"1995"	"Rye"	2
"1996"	"Rye"	2
"1997"	"Rye"	2
"1998"	"Rye"	2
"1999"	"Rye"	2
"2000"	"Rye"	2
"2001"	"Rye"	2
"2002"	"Rye"	2
"2003"	"Rye"	2
"2004"	"Rye"	2
"2005"	"Rye"	2
"2006"	"Rye"	2
"2007"	"Rye"	2
"2008"	"Rye"	2
"2009"	"Rye"	2
"1961"	"Sorghum"	0
"1962"	"Sorghum"	0
"1963"	"Sorghum"	0
"1964"	"Sorghum"	0
"1965"	"Sorghum"	0
"1966"	"Sorghum"	0
"1967"	"Sorghum"	0
"1968"	"Sorghum"	0
"1969"	"Sorghum"	0
"1970"	"Sorghum"	0
"1971"	"Sorghum"	0
"1972"	"Sorghum"	0
"1973"	"Sorghum"	0
"1974"	"Sorghum"	0
"1975"	"Sorghum"	6
"1976"	"Sorghum"	6
"1977"	"Sorghum"	6
"1978"	"Sorghum"	6
"1979"	"Sorghum"	6
"1980"	"Sorghum"	5
"1981"	"Sorghum"	4
"1982"	"Sorghum"	4
"1983"	"Sorghum"	4
"1984"	"Sorghum"	4
"1985"	"Sorghum"	4
"1986"	"Sorghum"	0
"1987"	"Sorghum"	0
"1988"	"Sorghum"	1
"1989"	"Sorghum"	7
"1990"	"Sorghum"	9
"1991"	"Sorghum"	10
"1992"	"Sorghum"	12
"1993"	"Sorghum"	13
"1994"	"Sorghum"	16
"1995"	"Sorghum"	8
"1996"	"Sorghum"	9
"1997"	"Sorghum"	10
"1998"	"Sorghum"	10
"1999"	"Sorghum"	10
"2000"	"Sorghum"	10
"2001"	"Sorghum"	10
"2002"	"Sorghum"	10
"2003"	"Sorghum"	10
"2004"	"Sorghum"	10
"2005"	"Sorghum"	10
"2006"	"Sorghum"	10
"2007"	"Sorghum"	10
"2008"	"Sorghum"	9
"2009"	"Sorghum"	9
"1961"	"Wheat"	504
"1962"	"Wheat"	493
"1963"	"Wheat"	487
"1964"	"Wheat"	490
"1965"	"Wheat"	484
"1966"	"Wheat"	480
"1967"	"Wheat"	484
"1968"	"Wheat"	484
"1969"	"Wheat"	484
"1970"	"Wheat"	478
"1971"	"Wheat"	477
"1972"	"Wheat"	476
"1973"	"Wheat"	489
"1974"	"Wheat"	481
"1975"	"Wheat"	496
"1976"	"Wheat"	516
"1977"	"Wheat"	501
"1978"	"Wheat"	500
"1979"	"Wheat"	510
"1980"	"Wheat"	509
"1981"	"Wheat"	504
"1982"	"Wheat"	517
"1983"	"Wheat"	506
"1984"	"Wheat"	517
"1985"	"Wheat"	541
"1986"	"Wheat"	542
"1987"	"Wheat"	563
"1988"	"Wheat"	567
"1989"	"Wheat"	562
"1990"	"Wheat"	590
"1991"	"Wheat"	591
"1992"	"Wheat"	601
"1993"	"Wheat"	621
"1994"	"Wheat"	628
"1995"	"Wheat"	616
"1996"	"Wheat"	645
"1997"	"Wheat"	647
"1998"	"Wheat"	631
"1999"	"Wheat"	630
"2000"	"Wheat"	647
"2001"	"Wheat"	624
"2002"	"Wheat"	604
"2003"	"Wheat"	612
"2004"	"Wheat"	605
"2005"	"Wheat"	604
"2006"	"Wheat"	614
"2007"	"Wheat"	625
"2008"	"Wheat"	614
"2009"	"Wheat"	606
